,ticker,year,year_2,mkt_cap_x
10208,BABA,2009.0,4,219639561340.0
63055,NFLX,2007.0,8,130379722142.0
63054,NFLX,2006.0,7,130379722142.0
63052,NFLX,2004.0,5,130379722142.0
63051,NFLX,2003.0,4,130379722142.0
671,ABNB,2018.0,2,70554002528.0
8673,ATVI,2008.0,16,61021296122.0
65058,NTES,2012.0,14,54402591096.0
65057,NTES,2011.0,13,54402591096.0
65056,NTES,2010.0,12,54402591096.0
65055,NTES,2009.0,11,54402591096.0
65054,NTES,2008.0,10,54402591096.0
20578,CMG,2018.0,18,42833474361.0
20577,CMG,2017.0,17,42833474361.0
20576,CMG,2016.0,16,42833474361.0
20575,CMG,2015.0,15,42833474361.0
20574,CMG,2014.0,14,42833474361.0
20573,CMG,2013.0,13,42833474361.0
20572,CMG,2012.0,12,42833474361.0
20571,CMG,2011.0,11,42833474361.0
20570,CMG,2010.0,10,42833474361.0
20569,CMG,2009.0,9,42833474361.0
20568,CMG,2008.0,8,42833474361.0
69878,PAYX,2013.0,28,38869107871.0
69877,PAYX,2012.0,27,38869107871.0
69876,PAYX,2011.0,26,38869107871.0
69875,PAYX,2010.0,25,38869107871.0
69873,PAYX,2008.0,23,38869107871.0
69872,PAYX,2007.0,22,38869107871.0
69871,PAYX,2006.0,21,38869107871.0
69870,PAYX,2005.0,20,38869107871.0
69869,PAYX,2004.0,19,38869107871.0
69868,PAYX,2003.0,18,38869107871.0
69867,PAYX,2002.0,17,38869107871.0
69866,PAYX,2001.0,16,38869107871.0
69865,PAYX,2000.0,15,38869107871.0
55312,LULU,2019.0,16,37777515984.0
55311,LULU,2018.0,15,37777515984.0
55310,LULU,2017.0,14,37777515984.0
55309,LULU,2016.0,13,37777515984.0
55308,LULU,2015.0,12,37777515984.0
55307,LULU,2014.0,11,37777515984.0
55306,LULU,2013.0,10,37777515984.0
55305,LULU,2012.0,9,37777515984.0
78425,ROST,2002.0,17,35873128008.0
78422,ROST,1999.0,14,35873128008.0
57583,MFC,2000.0,3,34841528719.0
22370,CPRT,2010.0,17,32578920752.0
22369,CPRT,2009.0,16,32578920752.0
29125,EA,2011.0,22,29942911207.0
29122,EA,2008.0,19,29942911207.0
29121,EA,2007.0,18,29942911207.0
29120,EA,2006.0,17,29942911207.0
29119,EA,2005.0,16,29942911207.0
29118,EA,2004.0,15,29942911207.0
29117,EA,2003.0,14,29942911207.0
29116,EA,2002.0,13,29942911207.0
29115,EA,2001.0,12,29942911207.0
82973,SLF,1999.0,2,27244008058.0
17671,CDW,2006.0,13,25787920342.0
17670,CDW,2005.0,12,25787920342.0
17666,CDW,2001.0,8,25787920342.0
88331,TCOM,2011.0,12,23154497922.0
102011,ZTO,2018.0,5,20842530406.0
33407,EXPD,2009.0,25,17089656278.0
33405,EXPD,2007.0,23,17089656278.0
33404,EXPD,2006.0,22,17089656278.0
33403,EXPD,2005.0,21,17089656278.0
33401,EXPD,2003.0,19,17089656278.0
78361,ROL,2018.0,33,17067349438.0
78360,ROL,2017.0,32,17067349438.0
78359,ROL,2016.0,31,17067349438.0
78358,ROL,2015.0,30,17067349438.0
78357,ROL,2014.0,29,17067349438.0
14200,BR,2006.0,1,16122766262.0
44879,HTHT,2014.0,8,15381145050.0
33423,EXPE,2004.0,4,15072607749.0
33422,EXPE,2003.0,3,15072607749.0
90243,TME,2018.0,3,12746980025.0
90242,TME,2017.0,2,12746980025.0
100005,WSO,2020.0,35,11351249894.0
3709,AKAM,2013.0,16,11225760000.0
3708,AKAM,2012.0,15,11225760000.0
3707,AKAM,2011.0,14,11225760000.0
3706,AKAM,2010.0,13,11225760000.0
35439,FIVE,2019.0,10,10882903788.0
66160,NWS,2015.0,6,9313294045.0
66159,NWS,2014.0,5,9313294045.0
66158,NWS,2013.0,4,9313294045.0
66157,NWS,2012.0,3,9313294045.0
69388,PAC,2022.0,18,9217776703.0
69387,PAC,2021.0,17,9217776703.0
66170,NWSA,2015.0,3,9215441141.0
66169,NWSA,2014.0,2,9215441141.0
66168,NWSA,2013.0,1,9215441141.0
96011,VIPS,2013.0,5,8854334061.0
7769,ASR,2004.0,5,8822700000.0
77406,RHI,2012.0,28,8336940653.0
99965,WSM,2017.0,32,8028032782.0
99964,WSM,2016.0,31,8028032782.0
29765,EDU,2018.0,16,6867177567.0
29764,EDU,2017.0,15,6867177567.0
29763,EDU,2016.0,14,6867177567.0
29762,EDU,2015.0,13,6867177567.0
29761,EDU,2014.0,12,6867177567.0
29760,EDU,2013.0,11,6867177567.0
29759,EDU,2012.0,10,6867177567.0
29758,EDU,2011.0,9,6867177567.0
9841,AXTA,2012.0,2,6536508172.0
40360,GNTX,2021.0,37,6319643013.0
40359,GNTX,2020.0,36,6319643013.0
40358,GNTX,2019.0,35,6319643013.0
40357,GNTX,2018.0,34,6319643013.0
40351,GNTX,2012.0,28,6319643013.0
39469,GIL,2013.0,17,5586151887.0
39466,GIL,2010.0,14,5586151887.0
44297,HRB,1994.0,9,5418018827.0
22346,CPRI,2015.0,6,5390425504.0
22345,CPRI,2014.0,5,5390425504.0
22344,CPRI,2013.0,4,5390425504.0
21725,COLM,2018.0,22,5362269333.0
21724,COLM,2017.0,21,5362269333.0
21720,COLM,2013.0,17,5362269333.0
21719,COLM,2012.0,16,5362269333.0
21716,COLM,2009.0,13,5362269333.0
40137,GME,2013.0,14,5253971708.0
40136,GME,2012.0,13,5253971708.0
43037,HGV,2022.0,10,5186804227.0
59000,MMS,2018.0,23,4661308889.0
58996,MMS,2014.0,19,4661308889.0
64868,NSP,2014.0,20,4487697196.0
100418,WU,2022.0,22,4149585000.0
100398,WU,2002.0,2,4149585000.0
74703,PTON,2020.0,4,4076118557.0
80822,SEAS,2022.0,13,3780804135.0
38180,GATX,2022.0,38,3624604000.0
94040,UNF,2019.0,35,3556068711.0
94039,UNF,2018.0,34,3556068711.0
94038,UNF,2017.0,33,3556068711.0
94037,UNF,2016.0,32,3556068711.0
82100,SIG,2013.0,27,3211043815.0
82099,SIG,2012.0,26,3211043815.0
43089,HI,2003.0,4,3147151955.0
43088,HI,2002.0,3,3147151955.0
43087,HI,2001.0,2,3147151955.0
43086,HI,2000.0,1,3147151955.0
39196,GHC,1997.0,12,2815828091.0
39195,GHC,1996.0,11,2815828091.0
2299,AEO,2019.0,27,2496251064.0
2298,AEO,2018.0,26,2496251064.0
2297,AEO,2017.0,25,2496251064.0
2296,AEO,2016.0,24,2496251064.0
2295,AEO,2015.0,23,2496251064.0
2293,AEO,2013.0,21,2496251064.0
2292,AEO,2012.0,20,2496251064.0
2291,AEO,2011.0,19,2496251064.0
2287,AEO,2007.0,15,2496251064.0
2285,AEO,2005.0,13,2496251064.0
94376,URBN,2019.0,26,2485058220.0
94375,URBN,2018.0,25,2485058220.0
94374,URBN,2017.0,24,2485058220.0
94372,URBN,2015.0,22,2485058220.0
94371,URBN,2014.0,21,2485058220.0
94370,URBN,2013.0,20,2485058220.0
94369,URBN,2012.0,19,2485058220.0
94368,URBN,2011.0,18,2485058220.0
94367,URBN,2010.0,17,2485058220.0
94366,URBN,2009.0,16,2485058220.0
94365,URBN,2008.0,15,2485058220.0
12781,BKE,2015.0,24,1888463348.0
12780,BKE,2014.0,23,1888463348.0
12779,BKE,2013.0,22,1888463348.0
12778,BKE,2012.0,21,1888463348.0
12777,BKE,2011.0,20,1888463348.0
79780,SAVE,2013.0,6,1847482018.0
15969,CAKE,2017.0,22,1790963337.0
15968,CAKE,2015.0,21,1790963337.0
15967,CAKE,2014.0,20,1790963337.0
15966,CAKE,2013.0,19,1790963337.0
15965,CAKE,2012.0,18,1790963337.0
8180,ATGE,2016.0,28,1717585165.0
8179,ATGE,2015.0,27,1717585165.0
8178,ATGE,2014.0,26,1717585165.0
8177,ATGE,2013.0,25,1717585165.0
8176,ATGE,2012.0,24,1717585165.0
8175,ATGE,2011.0,23,1717585165.0
8174,ATGE,2010.0,22,1717585165.0
5671,ANF,2008.0,12,1321576982.0
5670,ANF,2007.0,11,1321576982.0
5669,ANF,2006.0,10,1321576982.0
5668,ANF,2005.0,9,1321576982.0
5667,ANF,2004.0,8,1321576982.0
5666,ANF,2003.0,7,1321576982.0
5665,ANF,2002.0,6,1321576982.0
73765,PRDO,2010.0,14,902770915.0
73764,PRDO,2009.0,13,902770915.0
80545,SCS,1999.0,3,847393973.0
80544,SCS,1998.0,2,847393973.0
19019,CHS,2015.0,22,757920067.0
19018,CHS,2014.0,21,757920067.0
19017,CHS,2013.0,20,757920067.0
19016,CHS,2012.0,19,757920067.0
19015,CHS,2011.0,18,757920067.0
19014,CHS,2010.0,17,757920067.0
19011,CHS,2007.0,14,757920067.0
19009,CHS,2005.0,12,757920067.0
19007,CHS,2003.0,10,757920067.0
25867,DBI,2018.0,18,574600924.0
25866,DBI,2017.0,17,574600924.0
25865,DBI,2016.0,16,574600924.0
25864,DBI,2015.0,15,574600924.0
25863,DBI,2014.0,14,574600924.0
25862,DBI,2013.0,13,574600924.0
25861,DBI,2012.0,12,574600924.0
72383,PLCE,2013.0,17,503662588.0
41605,GTX,2016.0,2,473353878.0
12393,BIG,2003.0,17,398473982.0
41147,GRPN,2013.0,5,170753702.0
41146,GRPN,2012.0,4,170753702.0
41145,GRPN,2011.0,3,170753702.0
10622,BBBY,2009.0,18,156562842.0
10621,BBBY,2008.0,17,156562842.0
10620,BBBY,2007.0,16,156562842.0
10619,BBBY,2006.0,15,156562842.0
10618,BBBY,2005.0,14,156562842.0
10617,BBBY,2004.0,13,156562842.0
10616,BBBY,2003.0,12,156562842.0
10615,BBBY,2002.0,11,156562842.0
10614,BBBY,2001.0,10,156562842.0
41613,GTXAP,2016.0,2,0.0
